"","Item_Identifier","Item_Weight","Item_Fat_Content","Item_Visibility","Item_Type","Item_MRP","Outlet_Identifier","Outlet_Establishment_Year","Outlet_Size","Outlet_Location_Type","Outlet_Type","Item_Outlet_Sales"
"1","FDA15",9.3,"Low Fat",0.016047301,"Dairy",249.8092,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",3735.138
"2","DRC01",5.92,"Regular",0.019278216,"Soft Drinks",48.2692,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",443.4228
"3","FDN15",17.5,"Low Fat",0.016760075,"Meat",141.618,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",2097.27
"5","NCD19",8.93,"Low Fat",0,"Household",53.8614,"OUT013",1987,"High","Tier 3","Supermarket Type1",994.7052
"6","FDP36",10.395,"Regular",0,"Baking Goods",51.4008,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",556.6088
"7","FDO10",13.65,"Regular",0.012741089,"Snack Foods",57.6588,"OUT013",1987,"High","Tier 3","Supermarket Type1",343.5528
"11","FDY07",11.8,"Low Fat",0,"Fruits and Vegetables",45.5402,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1516.0266
"12","FDA03",18.5,"Regular",0.045463773,"Dairy",144.1102,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2187.153
"13","FDX32",15.1,"Regular",0.1000135,"Fruits and Vegetables",145.4786,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1589.2646
"14","FDS46",17.6,"Regular",0.047257328,"Snack Foods",119.6782,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2145.2076
"15","FDF32",16.35,"Low Fat",0.0680243,"Fruits and Vegetables",196.4426,"OUT013",1987,"High","Tier 3","Supermarket Type1",1977.426
"16","FDP49",9,"Regular",0.069088961,"Breakfast",56.3614,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1547.3192
"17","NCB42",11.8,"Low Fat",0.008596051,"Health and Hygiene",115.3492,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1621.8888
"18","FDP49",9,"Regular",0.069196376,"Breakfast",54.3614,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",718.3982
"20","FDU02",13.35,"Low Fat",0.10249212,"Dairy",230.5352,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2748.4224
"21","FDN22",18.85,"Regular",0.138190277,"Snack Foods",250.8724,"OUT013",1987,"High","Tier 3","Supermarket Type1",3775.086
"23","NCB30",14.6,"Low Fat",0.025698134,"Household",196.5084,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1587.2672
"25","FDR28",13.85,"Regular",0.025896485,"Frozen Foods",165.021,"OUT046",1997,"Small","Tier 1","Supermarket Type1",4078.025
"27","FDV10",7.645,"Regular",0.066693437,"Snack Foods",42.3112,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1065.28
"28","DRJ59",11.65,"Low Fat",0.019356132,"Hard Drinks",39.1164,"OUT013",1987,"High","Tier 3","Supermarket Type1",308.9312
"32","NCS17",18.6,"Low Fat",0.080829372,"Health and Hygiene",96.4436,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",2741.7644
